nombre,sexo,url,url_original,foto_local,foto_cdn,foto_credito,partido,periodo,periodo_tiempo,orden_destacado,estado,distrito,fecha_nacimiento,imagen_seo,,,,
González Azcárraga Rosa María,1,gonzalez-azcarraga-rosa-maria,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=267,diputados-federales/LXV-legislatura/gonzalez-azcarraga-rosa-maria.jpg,https://live.staticflickr.com/65535/52020974853_4eccea861c_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/448_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,28,Dtto. 8,12/mayo/1970,https://live.staticflickr.com/65535/52027800079_9a2abc0cc7_b.jpg,,,,
González Márquez Karen Michel,1,gonzalez-marquez-karen-michel,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=81,diputados-federales/LXV-legislatura/gonzalez-marquez-karen-michel.jpg,https://live.staticflickr.com/65535/52020974858_dd9ed18b5e_z.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/047_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,12,Dtto. 7,21/enero/1988,https://live.staticflickr.com/65535/52027591793_6ebb1c29f6_b.jpg,,,,
González Urrutia Wendy,1,gonzalez-urrutia-wendy,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=40,diputados-federales/LXV-legislatura/gonzalez-urrutia-wendy.jpg,https://live.staticflickr.com/65535/52020932531_a747eb06e3_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/484_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,7,Dtto. 3,31/agosto/1976,https://live.staticflickr.com/65535/52027591763_d1984918ff_b.jpg,,,,
González Zepeda Javier,0,gonzalez-zepeda-javier,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=165,diputados-federales/LXV-legislatura/gonzalez-zepeda-javier.jpg,https://live.staticflickr.com/65535/52021188254_f316457d3f_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/428_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,11,Dtto. 40,20/abril/1984,https://live.staticflickr.com/65535/52026510992_2e5f0c28ee_b.jpg,,,,
Gutiérrez Valdez María de los Angeles,1,gutierrez-valdez-maria-de-los-angeles,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=37,diputados-federales/LXV-legislatura/gutierrez-valdez-maria-de-los-angeles.jpg,https://live.staticflickr.com/65535/52020974903_12b4cec531_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/446_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,6,Dtto. 9,8/marzo/1962,https://live.staticflickr.com/65535/52027801804_8a8c6757ac_b.jpg,,,,
Gutiérrez Valtierra Diana Estefania,1,gutierrez-valtierra-diana-estefania,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=353,diputados-federales/LXV-legislatura/gutierrez-valtierra-diana-estefania.jpg,https://live.staticflickr.com/65535/52021450480_8277a3b964_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/488_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,12,Circ. 2,11/marzo/1991,https://live.staticflickr.com/65535/52028068340_bc22d0ea20_b.jpg,,,,
Hernández Escobar Alma Rosa,1,hernandez-escobar-alma-rosa,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=386,diputados-federales/LXV-legislatura/hernandez-escobar-alma-rosa.jpg,https://live.staticflickr.com/65535/52020974908_170eea1da7_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/458_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,30,Circ. 3,28/junio/1956,https://live.staticflickr.com/65535/52026510752_ab19ba1c1b_b.jpg,,,,
Huerta Ling Guillermo Octavio,0,huerta-ling-guillermo-octavio,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=354,diputados-federales/LXV-legislatura/huerta-ling-guillermo-octavio.jpg,https://live.staticflickr.com/65535/52021188319_286c31ecc2_z.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/188_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,7,Circ. 4,15/noviembre/1969,https://live.staticflickr.com/65535/52027552766_4485d6efc2_b.jpg,,,,
Huerta Villegas Genoveva,1,huerta-villegas-genoveva,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=425,diputados-federales/LXV-legislatura/huerta-villegas-genoveva.jpg,https://live.staticflickr.com/65535/52021188329_dd185b405f_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/474_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,21,Circ. 4,1/mayo/1981,https://live.staticflickr.com/65535/52027801689_4d463ff1a6_b.jpg,,,,
Inzunza Armas Jorge Ernesto,0,inzunza-armas-jorge-ernesto,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=463,diputados-federales/LXV-legislatura/inzunza-armas-jorge-ernesto.jpg,https://live.staticflickr.com/65535/52019892717_8ab940b762_z.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/479_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,11,Circ. 5,20/octubre/1956,https://live.staticflickr.com/65535/52027801769_5ee933b5b5_b.jpg,,,,
Jiménez Angulo Julia Licet,1,jimenez-angulo-julia-licet,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=464,diputados-federales/LXV-legislatura/jimenez-angulo-julia-licet.jpg,https://live.staticflickr.com/65535/52020974978_65da3aaf22_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/473_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,9,Circ. 5,19/septiembre/1977,https://live.staticflickr.com/65535/52027554251_50e0183b55_b.jpg,,,,
